id,date,category
918273021489639274_1574448514,2015-02-11T20:31:36.000Z,composite
918160804932939028_1574448514,2015-02-11T16:48:38.000Z,finalisti
917973458618871136_1574448514,2015-02-11T10:36:25.000Z,composite
917514047794375791_1574448514,2015-02-10T19:23:39.000Z,composite
917236259543772595_1574448514,2015-02-10T10:11:44.000Z,composite
916766166909120175_1574448514,2015-02-09T18:37:45.000Z,composite
916651489554263870_1574448514,2015-02-09T14:49:54.000Z,composite
916569802992446566_1574448514,2015-02-09T12:07:36.000Z,annuncio
916497603031919645_1574448514,2015-02-09T09:44:09.000Z,vincitori
916135464358309577_1574448514,2015-02-08T21:44:39.000Z,composite
915839508404432758_1574448514,2015-02-08T11:56:38.000Z,composite
915775373343911401_1574448514,2015-02-08T09:49:13.000Z,composite
915344038913568552_1574448514,2015-02-07T19:32:14.000Z,composite
915342472995335930_1574448514,2015-02-07T19:29:07.000Z,composite
915104860204362892_1574448514,2015-02-07T11:37:01.000Z,finalisti
915101738459393106_1574448514,2015-02-07T11:30:49.000Z,annuncio
914524762870836264_1574448514,2015-02-06T16:24:28.000Z,composite
914391997798083727_1574448514,2015-02-06T12:00:42.000Z,composite
914340707760008594_1574448514,2015-02-06T10:18:47.000Z,composite
913846143248953329_1574448514,2015-02-05T17:56:11.000Z,composite
913844746361171923_1574448514,2015-02-05T17:53:24.000Z,composite
913803841755343949_1574448514,2015-02-05T16:32:08.000Z,vincitori
913131541951344279_1574448514,2015-02-04T18:16:24.000Z,composite
913036257372073280_1574448514,2015-02-04T15:07:05.000Z,composite
912946522528083424_1574448514,2015-02-04T12:08:48.000Z,composite
912376680234283006_1574448514,2015-02-03T17:16:37.000Z,composite
912302937474526520_1574448514,2015-02-03T14:50:06.000Z,composite
912167090980843262_1574448514,2015-02-03T10:20:12.000Z,finalisti
911459577226521858_1574448514,2015-02-02T10:54:30.000Z,composite
911421677453635290_1574448514,2015-02-02T09:39:12.000Z,composite
910742044135583300_1574448514,2015-02-01T11:08:53.000Z,composite
910740852827418160_1574448514,2015-02-01T11:06:31.000Z,composite
910704166684782450_1574448514,2015-02-01T09:53:38.000Z,annuncio
910211918486498454_1574448514,2015-01-31T17:35:37.000Z,other
910201275045834576_1574448514,2015-01-31T17:14:29.000Z,vincitori
910093232207490769_1574448514,2015-01-31T13:39:49.000Z,annuncio
909534648130269169_1574448514,2015-01-30T19:10:00.000Z,composite
909469811840839101_1574448514,2015-01-30T17:01:11.000Z,composite
909322851121032238_1574448514,2015-01-30T12:09:12.000Z,recall
909318443670892492_1574448514,2015-01-30T12:00:27.000Z,composite
908790247074491729_1574448514,2015-01-29T18:31:01.000Z,composite
908716001535126964_1574448514,2015-01-29T16:03:30.000Z,composite
908639933922995898_1574448514,2015-01-29T13:32:22.000Z,composite
908560097678388410_1574448514,2015-01-29T10:53:45.000Z,other
908558365271452833_1574448514,2015-01-29T10:50:18.000Z,composite
908558196224224413_1574448514,2015-01-29T10:49:58.000Z,finalisti
907926480899993222_1574448514,2015-01-28T13:54:52.000Z,composite
907833033350376466_1574448514,2015-01-28T10:49:12.000Z,composite
907101086844121028_1574448514,2015-01-27T10:34:57.000Z,composite
906685190128463677_1574448514,2015-01-26T20:48:39.000Z,composite
906556137752948275_1574448514,2015-01-26T16:32:14.000Z,composite
906483987092270942_1574448514,2015-01-26T14:08:53.000Z,composite
906372443863969670_1574448514,2015-01-26T10:27:16.000Z,vincitori
906360052027682531_1574448514,2015-01-26T10:02:39.000Z,annuncio
904970094167649739_1574448514,2015-01-24T12:01:03.000Z,composite
904908040849255669_1574448514,2015-01-24T09:57:46.000Z,finalisti
904905212588125370_1574448514,2015-01-24T09:52:09.000Z,annuncio
904455837835521249_1574448514,2015-01-23T18:59:19.000Z,composite
904313540451954473_1574448514,2015-01-23T14:16:36.000Z,composite
904238049539845400_1574448514,2015-01-23T11:46:37.000Z,composite
904173445480639762_1574448514,2015-01-23T09:38:15.000Z,composite
904161855813381223_1574448514,2015-01-23T09:15:14.000Z,vincitori
903602490412821865_1574448514,2015-01-22T14:43:52.000Z,composite
903483659237387459_1574448514,2015-01-22T10:47:46.000Z,composite
903080620529740800_1574448514,2015-01-21T21:27:00.000Z,composite
902921035282050195_1574448514,2015-01-21T16:09:56.000Z,composite
902879777364831392_1574448514,2015-01-21T14:47:58.000Z,finalisti
902731834271919671_1574448514,2015-01-21T09:54:02.000Z,finalisti
902316738072735481_1574448514,2015-01-20T20:09:19.000Z,composite
902053483253264350_1574448514,2015-01-20T11:26:16.000Z,composite
901574347128761885_1574448514,2015-01-19T19:34:19.000Z,composite
901426872992591401_1574448514,2015-01-19T14:41:18.000Z,composite
901425761619471891_1574448514,2015-01-19T14:39:06.000Z,composite
901424037483703790_1574448514,2015-01-19T14:35:40.000Z,composite
900675515306143006_1574448514,2015-01-18T13:48:30.000Z,annuncio
900142866103725370_1574448514,2015-01-17T20:10:13.000Z,composite
900136406883953753_1574448514,2015-01-17T19:57:23.000Z,annuncio
899298306762928015_1574448514,2015-01-16T16:12:13.000Z,composite
899193442628201978_1574448514,2015-01-16T12:43:53.000Z,composite
899127552553446758_1574448514,2015-01-16T10:32:58.000Z,recall
898714172059479340_1574448514,2015-01-15T20:51:39.000Z,composite
898613073839320877_1574448514,2015-01-15T17:30:47.000Z,composite
898420729785544537_1574448514,2015-01-15T11:08:38.000Z,composite
897982522979708122_1574448514,2015-01-14T20:38:00.000Z,composite
897858811018538280_1574448514,2015-01-14T16:32:12.000Z,composite
897211276247624887_1574448514,2015-01-13T19:05:40.000Z,composite
896994816841674268_1574448514,2015-01-13T11:55:36.000Z,composite
896973627167534296_1574448514,2015-01-13T11:13:30.000Z,composite
896230021620231762_1574448514,2015-01-12T10:36:05.000Z,composite
896228047327784508_1574448514,2015-01-12T10:32:10.000Z,composite
895549811417607853_1574448514,2015-01-11T12:04:38.000Z,composite
895529584562728210_1574448514,2015-01-11T11:24:27.000Z,annuncio
894906317934095538_1574448514,2015-01-10T14:46:08.000Z,composite
894892034919690011_1574448514,2015-01-10T14:17:45.000Z,composite
894734391013994222_1574448514,2015-01-10T09:04:32.000Z,annuncio
894071674750037492_1574448514,2015-01-09T11:07:50.000Z,composite
893521333402922368_1574448514,2015-01-08T16:54:25.000Z,composite
892807568759909820_1574448514,2015-01-07T17:16:17.000Z,composite
892599675733339318_1574448514,2015-01-07T10:23:14.000Z,composite
892019138417323919_1574448514,2015-01-06T15:09:49.000Z,composite
891138119887678930_1574448514,2015-01-05T09:59:23.000Z,composite
890535519408549341_1574448514,2015-01-04T14:02:08.000Z,other
889842998479088964_1574448514,2015-01-03T15:06:13.000Z,recall
889704108892024481_1574448514,2015-01-03T10:30:16.000Z,annuncio
889226048858156510_1574448514,2015-01-02T18:40:27.000Z,composite
889035866859040292_1574448514,2015-01-02T12:22:35.000Z,recall
889010229410721765_1574448514,2015-01-02T11:31:39.000Z,composite
887682830727311153_1574448514,2014-12-31T15:34:21.000Z,composite
887572850959380317_1574448514,2014-12-31T11:55:50.000Z,composite
886800963497029437_1574448514,2014-12-30T10:22:14.000Z,composite
886304882216594584_1574448514,2014-12-29T17:56:37.000Z,composite
886131189427400650_1574448514,2014-12-29T12:11:31.000Z,composite
885579298427563773_1574448514,2014-12-28T17:55:00.000Z,recall
885366854446935594_1574448514,2014-12-28T10:52:55.000Z,composite
885321679418879846_1574448514,2014-12-28T09:23:10.000Z,annuncio
884706056775069292_1574448514,2014-12-27T13:00:02.000Z,annuncio
884278005545234165_1574448514,2014-12-26T22:49:34.000Z,composite
883943857483869436_1574448514,2014-12-26T11:45:40.000Z,composite
883189950205849393_1574448514,2014-12-25T10:47:48.000Z,other
882639016178413481_1574448514,2014-12-24T16:33:11.000Z,composite
882588431605493097_1574448514,2014-12-24T14:52:41.000Z,other
881993585589153682_1574448514,2014-12-23T19:10:50.000Z,recall
881756849684540896_1574448514,2014-12-23T11:20:29.000Z,composite
881179642947890303_1574448514,2014-12-22T16:13:40.000Z,other
881046436651134728_1574448514,2014-12-22T11:49:01.000Z,composite
880304592812174763_1574448514,2014-12-21T11:15:06.000Z,annuncio
879597904069062627_1574448514,2014-12-20T11:51:02.000Z,composite
879559382876482888_1574448514,2014-12-20T10:34:30.000Z,annuncio
879060402962885648_1574448514,2014-12-19T18:03:07.000Z,composite
878934336336228347_1574448514,2014-12-19T13:52:39.000Z,recall
878913253683949160_1574448514,2014-12-19T13:10:46.000Z,composite
878347663114169630_1574448514,2014-12-18T18:27:02.000Z,composite
878259420184112206_1574448514,2014-12-18T15:31:43.000Z,recall
878106278561770809_1574448514,2014-12-18T10:27:27.000Z,composite
877635493992787402_1574448514,2014-12-17T18:52:05.000Z,composite
877393216900886086_1574448514,2014-12-17T10:50:43.000Z,composite
876874859478970314_1574448514,2014-12-16T17:40:50.000Z,composite
876772715467829014_1574448514,2014-12-16T14:17:54.000Z,other
876233557125033893_1574448514,2014-12-15T20:26:41.000Z,composite
876221943332138653_1574448514,2014-12-15T20:03:37.000Z,composite
876111566581722181_1574448514,2014-12-15T16:24:19.000Z,annuncio
875619053303426144_1574448514,2014-12-15T00:05:46.000Z,annuncio
874611841722412500_1574448514,2014-12-13T14:44:38.000Z,annuncio
874604526671686936_1574448514,2014-12-13T14:30:05.000Z,recall
874558952035511534_1574448514,2014-12-13T12:59:33.000Z,composite
874556456584015027_1574448514,2014-12-13T12:54:35.000Z,composite
874097300068560387_1574448514,2014-12-12T21:42:19.000Z,composite
874096215463488992_1574448514,2014-12-12T21:40:10.000Z,composite
874094469097909685_1574448514,2014-12-12T21:36:42.000Z,composite
874093013020110226_1574448514,2014-12-12T21:33:48.000Z,recall
873277909831708098_1574448514,2014-12-11T18:34:20.000Z,composite
873276514814586263_1574448514,2014-12-11T18:31:34.000Z,composite
872597402236153187_1574448514,2014-12-10T20:02:18.000Z,composite
872447155832811051_1574448514,2014-12-10T15:03:47.000Z,recall
872364986850537212_1574448514,2014-12-10T12:20:32.000Z,composite
872284614305443710_1574448514,2014-12-10T09:40:50.000Z,recall
871736147006910221_1574448514,2014-12-09T15:31:08.000Z,recall
871582254402825260_1574448514,2014-12-09T10:25:23.000Z,recall
871057060978421652_1574448514,2014-12-08T17:01:55.000Z,recall
871003465490820225_1574448514,2014-12-08T15:15:26.000Z,recall
870950744565935865_1574448514,2014-12-08T13:30:41.000Z,recall
870940566718180373_1574448514,2014-12-08T13:10:27.000Z,annuncio
870936442081570514_1574448514,2014-12-08T13:02:16.000Z,annuncio
870296514964417968_1574448514,2014-12-07T15:50:50.000Z,recall
869772678623849560_1574448514,2014-12-06T22:30:04.000Z,other
868798989522628309_1574448514,2014-12-05T14:15:32.000Z,other
868285473569041580_1574448514,2014-12-04T21:15:16.000Z,other
868013913893432949_1574448514,2014-12-04T12:15:43.000Z,other
867517920458501923_1574448514,2014-12-03T19:50:16.000Z,other
867359411351776903_1574448514,2014-12-03T14:35:20.000Z,other
866691132668964190_1574448514,2014-12-02T16:27:35.000Z,other
866618308151406072_1574448514,2014-12-02T14:02:54.000Z,other
865976769146449131_1574448514,2014-12-01T16:48:17.000Z,other
865964833541385379_1574448514,2014-12-01T16:24:34.000Z,other
865964515235654791_1574448514,2014-12-01T16:23:56.000Z,other
865963312661589028_1574448514,2014-12-01T16:21:33.000Z,other
865959288478559982_1574448514,2014-12-01T16:13:33.000Z,other
